[I 2025-04-30 13:16:42,753] Trial 23 finished with value: 0.8893181818181818 and parameters: {'n_estimators': 782, 'max_depth': 40, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:17:02,720] Trial 24 finished with value: 0.8898863636363636 and parameters: {'n_estimators': 842, 'max_depth': 38, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:17:13,895] Trial 25 finished with value: 0.8878409090909092 and parameters: {'n_estimators': 548, 'max_depth': 32, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:17:24,780] Trial 26 finished with value: 0.8889772727272727 and parameters: {'n_estimators': 387, 'max_depth': 46, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:17:40,667] Trial 27 finished with value: 0.889090909090909 and parameters: {'n_estimators': 735, 'max_depth': 45, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:18:28,108] Trial 28 finished with value: 0.8867045454545455 and parameters: {'n_estimators': 643, 'max_depth': 42, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:18:45,307] Trial 29 finished with value: 0.8864772727272726 and parameters: {'n_estimators': 897, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:18:56,417] Trial 30 finished with value: 0.8885227272727272 and parameters: {'n_estimators': 520, 'max_depth': 38, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:19:12,235] Trial 31 finished with value: 0.8902272727272728 and parameters: {'n_estimators': 691, 'max_depth': 39, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:19:24,116] Trial 32 finished with value: 0.8871590909090908 and parameters: {'n_estimators': 595, 'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
